row_id,english_source,output_A,output_B,A_authenticity_1to5,A_adequacy_1to5,B_authenticity_1to5,B_adequacy_1to5,preference_A_B_tie,notes
82,The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.,美國工程兵估計，雨落咗六吋可能會冲破之前已经損壞嘅堤壩。,美國工程兵估計六吋雨會穿破之前損壞嘅圍堤。,,,,,,
38,"The smaller the Rossby number, the less active the star with respect to magnetic reversals.",羅斯比數字越細，星嘅磁力倒轉活性就越低。,羅士比數字愈細，恆星喺磁場倒轉方面就愈少活躍。,,,,,,
101,"However, the percentage of XDR-TB in the entire group of people with tuberculosis still seems to be low; 6,000 of the total 330,000 people infected at any particular moment in South Africa.","然而，整體肺結核患者當中，XDR-TB嘅比例似乎仍然係低嘅；南非喺任何特定時刻感染咗總共330,000人當中嘅6,000人。","然而，嘅XDR-TB比率在整群肺結核患者中仍然好似低緊；南非既33萬個同時被感染個個中，有6,000個。",,,,,,
166,"Candidates can send representatives to witness every part of the process. In the evening, votes are counted by volunteers under heavy supervision, following specific procedures.",候選人可喺過程嘅每一部分都派代表嚟見證。喺晚上，選票會由義工喺嚴格監督下，按照特定程序進行計票。,候任員可以派代表見證整個過程。晚間，票數由監督緊密睇緊嘅義工依特定程序計數。,,,,,,
12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",喺PALM試驗入面，ZMapp做咗一個對照組，意思係科學家哋用佢做參考基準，同時將其他三種治療方法同佢比較。,在PALM試驗中，ZMapp用作對照組，意思係科學家用嚟做基準，再同其他三個治療方法比較。,,,,,,
18,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.",在七六年選舉陣他Advice Carter野Foreign policy，之後從七七年至八一年做National Security Advisor，接任Henry Kissinger嘅位。,喺1976年選舉期間佢曾就外交政策諮詢卡特的意見 然後喺1977年到1981年間擔任國家安全顧問（NSA） 並接替亨利·基辛格嘅職位,,,,,,
137,"After the dam was built in 1963, the seasonal floods that would spread sediment throughout the river were halted.",而家大壩喺1963年建成之後，會令河裏面泥沙散開嘅季節性洪水就唔再發生咗。,壩系1963年建咗之后，季節性洪水就唔會再流散泥沙嘅喇。,,,,,,
24,"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.",周日暝，美國 PRESIDENT 唔好講，由 PRESS SECRETARY 仲傳出嚟，宣布美國軍隊會離開敘利亞。,喺禮拜日晏晝，美國總統唐納·川普透過新聞秘書發表聲明，宣布美國部隊會撤離敘利亞。,,,,,,
93,Television reports show white smoke coming from the plant.,電視報導顯示有白煙從呢間廠嚟。,電視報道顯示廠房喺冒白煙。,,,,,,
149,Efforts to search for the crash site are being met by bad weather and harsh terrain.,搜尋失事地點嘅嘅努力遭恶劣天氣同險惡地形阻撓,搵撞機場嘅努力，而家係畀到惡嗰啲天氣同兇嗰啲地形打擊。,,,,,,
14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",我哋同意USOC嘅表態，認為我哋運動員同會壇嘅利益，同埋呢項運動嘅前途，可能會因為在呢個組織里面進行真正嘅改革而得益，而不是搞解散 Certification。,我哋同意美國奧委會嘅講法，話我哋運動員同會隊嘅利益，同埋佢哋嘅運動，可能會喺我哋組織內透過實意變革行進，好過取消資格。,,,,,,
129,"The money could go toward flood-proof houses, better water management, and crop diversification.",呢筆錢可以攞嚟整防水屋、改善水務管理同埋農作物多樣化。,呢啲錢可以用嚟建防水嘅屋邨、改善飲水管理同增加農作物種類。,,,,,,
54,First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.,首七十八點建议嘅係，呢年截止前要搞一個新嘅外交嘅行動，緊接伊拉克嘅邊界防住敵對勢力入侵，再同周邊鄰國恢復外交關係。,佢哋78條建議入面，第一條就係要喺今年底之前，推出一個新外交舉動，嚟保護伊拉克嘅邊界，唔畀敵對勢力干預，同時重新同鄰近國家建立外交關係。,,,,,,
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",-ring 亦 安排 一宗 訴訟 唔打 ADT 公司 嘅 安全 部門,鈴亦同競爭嘅保安公司 ADT Corporation 訴訟了解咗。,,,,,,
22,"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.",其他提名包括最佳影片、導演、攝影、服裝設計、剪接、原創音樂、場景設計、聲音剪接、聲音混合同原創劇本。,其他提名包括最佳影片、導演、攝影、服装設計、剪接、原創音樂、佈景設計、音效剪接、音效混音和原創劇本。,,,,,,
111,Police said that the body appeared to have been there for about a day.,警隊講呢個屍喺度好似有一日钟晒。,差佬話，屍體似乎已喺嗰度一個鐘左右。,,,,,,
107,"A doctor who worked at Children's Hospital of Pittsburgh, Pennsylvania will be charged with aggravated murder after her mother was found dead in the trunk of her car Wednesday, authorities in Ohio say.",一個喺匹士堡嘅賓夕法尼亞州兒童醫院做過醫生嘅女人，喺禮拜三俾人發現屍體喺佢個車廂入面，今個俾俄亥俄州官員話佢會被控告謀殺未遂。,一 Doctor 嘅 人喺 呾 Pennsylvania 廣東省兒童醫院 工 會 被 湯西警 察局 拿去問罪 因為 唔到日 嗰 女醫生嘅 唩 嘅 妈咪 被 找到 喺 嗰 女醫生 自己車嘅 车尾箱 仲有 呱死,,,,,,
17,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",1960年代，布列津斯基為詹尼菲·肯尼迪做顧問，之後又為林登·約翰遜政府工作。,1960年代嗰陣，布魯斯金為約翰 F 肯尼迪工作，做佢嘅顧問，之後又為李欽頓 B 約翰嘅政府工作。,,,,,,
61,Several large television screens were installed in various places in Rome to let the people watch the ceremony.,有幾個大電視螢幕喺羅馬唔同地方裝咗，俾人哋睇儀式。,羅馬邊度都幾個大電視螢幕安晒喇，俾人哋睇禮記。,,,,,,
23,"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.",電影《Audition (The Fools Who Dream)》同《City of Stars》嘅兩首歌曲都獲得最佳原創歌曲提名。Lionsgate 工廠獲得26項提名 — 比其他任何工廠都多。,電影《聽風者》同《城巿之光》兩首歌得最佳原創歌曲提名。獅門 Studios 要得廿六個提名——多過其他 Studios。,,,,,,
141,"No tsunami warning has been issued, and according to the Jakarta geophysics agency, no tsunami warning will be issued because the quake did not meet the magnitude 6.5 requirement.",冇發出海嘯警告，據雅加達地球物理機構所講，由於呢次地震冇達到6.5級嘅要求，所以冇會發出海嘯警告。,無發山泥警告，据雅加達地質物理局料，山泥警告唔會發，因為地震震級仲未到六點五。,,,,,,
108,"Dr. Malar Balasubramanian, 29, was found in Blue Ash, Ohio, a suburb approximately 15 miles north of Cincinnati lying on the ground beside the road in a T-shirt and underwear in an apparently heavily medicated state.",馬拉博士Balasubramanian，廿九歲，喺俄亥俄州蓝艾沙度被發現，呢個地點係辛辛那提北方大約十五哩既一個郊區，佢喺路邊地躺住，穿一隻T恤衫同短褲，好似重喺服藥。,瑪拉巴蘭蘇布拉馬尼醫生，29歲，喺俄亥俄州嘅藍阿士一個離辛辛那提大約15英里遠嘅郊區被發現，佢喺馬路邊地喺地上，身上只穿咗件T恤同內褲，狀態似乎係服咗好多藥。,,,,,,
