row_id,english_source,output_A,output_B,A_adequacy_1to5,A_fluency_1to5,B_adequacy_1to5,B_fluency_1to5,preference_A_B_tie,notes
42,"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.",这将在基站具有双射频的情况下，使其能够向后兼容802.11a、802.11b和802.11g。,这将使其能够与802.11a、802.11b和802.11g兼容，前提是基站具有双无线电。,,,,,,
91,The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.,科学家们能够得出结论，暗物质以与普通物质相同的方式影响其他暗物质。,科学家们能够得出结论，暗物质以常规物质影响其他暗物质同样的方式影响其他暗物质。,,,,,,
197,"Entertainment news website TMZ understands the photographer stopped his vehicle on the other side of Sepulveda Boulevard and attempted to take pictures of the police stop before crossing the road and continuing, prompting the California Highway Patrol police officer conducting the traffic stop to order him back across, twice.",娱乐新闻网站TMZ了解到，该摄影师在Sepulveda Boulevard的另一边停下了车辆，并试图在穿过马路继续前行之前拍摄警察拦截行动的照片，这导致执行交通拦截任务的加州高速公路巡警两次命令他返回马路对面。,娱乐新闻网站TMZ了解到摄影师在塞普尔维达大道的另一侧停下他的车辆，试图在过马路继续之前拍摄警察的拦截，这导致加利福尼亚州公路巡逻警察 officer 进行交通拦截的警官命令他两次退回过马路。,,,,,,
57,"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""",辩论是由关于飓风卡特里娜灾后重建支出的争议引发的；一些财政保守派将其幽默地称为“布什的新奥尔良交易”。,这场辩论是由围绕卡特里娜飓风后救济和重建支出的争议引发的；一些财政保守派幽默地将其称为“布什的新奥尔良计划”。,,,,,,
136,Fire rescue crews eventually doused the fire by 11:35 pm.,消防救援人员最终在晚上11点35分扑灭了火灾。,消防队最终在晚上11点35分将火扑灭。,,,,,,
138,"This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.",这种沉积物对于形成沙洲和海滩是必要的，它们作为野生动物的栖息地。,这些沉积物对于形成沙洲和海滩至关重要，而这些沙洲和海滩又成为了野生动植物的栖息地。,,,,,,
128,The U.N. also hopes to finalize a fund to help countries affected by global warming to cope with the impacts.,联合国也希望最终确定一项基金，以帮助受全球变暖影响的国家应对其影响。,联合国也希望最终敲定一项基金，帮助受全球变暖影响的国家应对影响。,,,,,,
84,Water is spilling over the levee in a section 100 feet wide.,水正从100英尺宽的一段堤坝上溢出。,水在一段宽100英尺的河堤段溢出。,,,,,,
162,"In France, voting has traditionally been a low-tech experience: voters isolate themselves in a booth, put a pre-printed sheet of paper indicating their candidate of choice into an envelope.",在法国，投票传统上是一种低科技体验：选民把自己隔离在一个隔间里，把一张预先印好的标明他们选择候选人的纸放进一个信封里。,在法国，投票传统上是一种低技术含量的经历：选民独自一人进入投票间，将标有自己所选候选人的预印纸放入信封中。,,,,,,
196,"He was reportedly aged in his 20s. In a statement, Bieber said ""[w]hile I was not present nor directly involved with this tragic accident, my thoughts and prayers are with the family of the victim.""",他据报道当时在二十多岁。在一份声明中，比伯说：“虽然我没有在现场也没有直接参与这次悲剧事故，但我向受害者家属表示了哀思和祈祷。,据报道他二十多岁了。在一份声明中，比伯说“虽然我没有在场也直接卷入这场悲剧事故，但我和我的祈祷与受害者家属同在。,,,,,,
